Date,Time,Open,High,Low,Close,Volume
20250909,000000,50,50,28,28,17
20250913,000000,15,20,15,20,1200
20250920,000000,10,10,9,9,53
20250921,000000,6,6,6,6,10
20251004,000000,15,15,15,15,4000
20251005,000000,18,19,18,19,210
20251006,000000,15,15,6,6,160
20251008,000000,6,6,6,6,1000
20251011,000000,6,29,6,10,2057
20251012,000000,10,25,10,18,5944
20251013,000000,12,18,12,17,24748
20251014,000000,17,25,16,18,127938
20251015,000000,18,20,16,17,12847
20251018,000000,17,20,17,19,75997
20251019,000000,20,25,16,18,203437
20251020,000000,19,24,13,15,310399
20251021,000000,15,19,11,12,286936
20251026,000000,14,15,7,8,356857
20251027,000000,8,10,5,7,1470742
20251028,000000,6,9,5,5,891790
20251029,000000,6,6,4,6,2219944
20251101,000000,6,6,2,3,1623721
20251102,000000,3,5,2,4,1937472
20251103,000000,4,4,2,2,1321557
20251104,000000,3,3,2,3,1344771
20251105,000000,2,4,2,3,833205
20251108,000000,3,3,1,2,659193
20251109,000000,1,2,1,1,2705819
